mz|RT|Name
90.05495|1|Metabolite_1
119.06037|5.94|Metabolite_2
122.08117|14.98|Metabolite_3
166.08626|9.6|Metabolite_4
556.27658|4.52|Metabolite_5
609.28066|3.46|Metabolite_6
530.78798|14.16|Metabolite_7
