mz|RT|Name
89.02442|9.96|Lactic_acid
117.01933|15.5|Succinic_acid
130.08735|10.2|Leucine
130.08735|11|Isoleucine
155.00983|10.8|Orotic_acid
237.09145|10.69|HEPES
259.02244|16.79|G6P
514.2844|4.46|Taurocholic_acid
613.3892|7.78|CHAPS
251.1071|10.72|EPPS
